,phylo0,S,lat.abs,Latitude.Google,Temperature,hemi
USAK3C,172.35734,1213,64.853378,64.853378,0,North
USAK3D,177.10915,1257,64.853378,64.853378,0,North
USAT01A,401.64462,3023,34.2860248,34.2860248,16,North
USAT01B,404.65878,3047,34.2860248,34.2860248,16,North
USAT01C,456.46731,3533,34.2860248,34.2860248,16,North
USAT02A,260.67502,1921,34.087483,34.087483,16,North
USAT02B,277.97115,2078,34.087483,34.087483,16,North
USAT02C,272.25586,2077,34.087483,34.087483,16,North
USAT03A,322.35953,2292,34.1302345,34.1302345,16,North
USAT03B,336.67136,2297,34.1302345,34.1302345,16,North
USAT03C,448.30268,3477,34.1302345,34.1302345,16,North
USAT04A,412.36103,3034,34.1302345,34.1302345,16,North
USAT04B,404.00417,2972,34.1302345,34.1302345,16,North
USAT04C,398.21924,2928,34.1302345,34.1302345,16,North
USAT05A,287.55459,2097,34.1374661,34.1374661,16,North
USAT05B,285.69876,2143,34.1374661,34.1374661,16,North
USAT05C,277.16423,1995,34.1374661,34.1374661,16,North
USAT07A,319.39379,2220,33.5865462,33.5865462,16,North
USAT07B,325.75329,2333,33.5865462,33.5865462,16,North
USAT07C,442.94845,3391,33.5865462,33.5865462,16,North
USAT08A,344.40568,2443,33.6789178,33.6789178,16,North
USAT08B,419.74658,3196,33.6789178,33.6789178,16,North
USAT08C,339.16926,2387,33.6789178,33.6789178,16,North
USAT09A,267.43551,1867,33.5903939,33.5903939,16,North
USAT09B,264.8185,1822,33.5903939,33.5903939,16,North
USAT09C,271.73267,1829,33.5903939,33.5903939,16,North
USAT10A,317.17148,2264,33.6055229,33.6055229,16,North
USAT10B,309.67493,2300,33.6055229,33.6055229,16,North
USAT10C,311.75622,2337,33.6055229,33.6055229,16,North
USAT11A,414.69815,3037,33.9604823,33.9604823,16,North
USAT11B,420.33038,2940,33.9604823,33.9604823,16,North
USAT11C,414.44206,2883,33.9604823,33.9604823,16,North
USAT12A,343.63869,2612,34.0169066,34.0169066,16,North
USAT12B,334.6017,2608,34.0169066,34.0169066,16,North
USAT12C,353.19965,2775,34.0169066,34.0169066,16,North
USBT1A,314.43987,2182,41.567427,41.567427,10,North
USBT1B,326.76164,2268,41.567427,41.567427,10,North
USBT1C,313.77381,2176,41.567427,41.567427,10,North
USBT2A,326.67433,2379,41.0485141,41.0485141,10,North
USBT2B,357.17804,2679,41.0485141,41.0485141,10,North
USBT2C,310.07986,2258,41.0485141,41.0485141,10,North
USBT3A,291.0008,2249,41.567427,41.567427,10,North
USBT3B,281.73023,2105,41.567427,41.567427,10,North
USBT3C,301.38557,2234,41.567427,41.567427,10,North
USBT4A,272.945,1995,42.1434453,42.1434453,9,North
USBT4B,264.36957,1950,42.1434453,42.1434453,9,North
USBT4C,273.08343,1995,42.1434453,42.1434453,9,North
USBT5A,270.71053,1951,41.95932,41.95932,10,North
USBT5B,271.70426,2024,41.95932,41.95932,10,North
USBT5C,250.4448,1887,41.95932,41.95932,10,North
USBT6A,307.82406,2266,41.95932,41.95932,10,North
USBT6B,296.56657,2178,41.95932,41.95932,10,North
USBT6C,299.56296,2218,41.95932,41.95932,10,North
USCB1AA,272.06393,1839,38.9209554,38.9209554,12,North
USCB1AB,263.79689,1756,38.9209554,38.9209554,12,North
USCB1AC,273.57661,1849,38.9209554,38.9209554,12,North
USCB1BA,264.48251,1790,38.9209554,38.9209554,12,North
USCB1BB,270.4729,1820,38.9209554,38.9209554,12,North
USCB1BC,259.1156,1774,38.9209554,38.9209554,12,North
USCB1CA,304.56089,2133,38.9209554,38.9209554,12,North
USCB1CB,310.77051,2128,38.9209554,38.9209554,12,North
USCB1CC,291.16276,2049,38.9209554,38.9209554,12,North
USCB1DA,300.61636,2115,38.9209554,38.9209554,12,North
USCB1DB,312.81532,2155,38.9209554,38.9209554,12,North
USCB1DC,298.64448,2067,38.9209554,38.9209554,12,North
USCG1A,333.92342,2331,41.9997403,41.9997403,8,North
USCG1B,340.27557,2364,41.9997403,41.9997403,8,North
USCG1C,328.14541,2292,41.9997403,41.9997403,8,North
USCG2A,363.64667,2599,41.8216038,41.8216038,10,North
USCG2B,361.25132,2524,41.8216038,41.8216038,10,North
USCG2C,362.24678,2554,41.8216038,41.8216038,10,North
USCG3A,394.66928,2921,42.022339,42.022339,9,North
USCG3B,403.56181,2938,42.022339,42.022339,9,North
USCG3C,391.81642,2896,42.022339,42.022339,9,North
USCG4AA,340.61222,2350,42.0177105,42.0177105,9,North
USCG4AB,334.70619,2371,42.0177105,42.0177105,9,North
USCG4AC,330.08528,2341,42.0177105,42.0177105,9,North
USCG4BA,332.14019,2448,42.0177105,42.0177105,9,North
USCG4BB,311.25879,2265,42.0177105,42.0177105,9,North
USCG4BC,329.96148,2322,42.0177105,42.0177105,9,North
USCG5A,329.04137,2298,42.0199674,42.0199674,9,North
USCG5B,340.04367,2321,42.0199674,42.0199674,9,North
USCG5C,328.52172,2254,42.0199674,42.0199674,9,North
USCT1A,303.69329,2139,35.0456297,35.0456297,16,North
USCT1B,294.57316,2064,35.0456297,35.0456297,16,North
USCT1C,301.4728,2118,35.0456297,35.0456297,16,North
USCT1D,303.33797,2026,35.0456297,35.0456297,16,North
USCT1E,295.43946,2015,35.0456297,35.0456297,16,North
USCT1F,286.76731,2006,35.0456297,35.0456297,16,North
USCT1G,299.62241,2085,35.0456297,35.0456297,16,North
USCT1H,293.39844,2026,35.0456297,35.0456297,16,North
USCT1I,277.64542,1878,35.0456297,35.0456297,16,North
USDA1A,427.86614,3024,32.7717421,32.7717421,19,North
USDA1B,433.2453,3016,32.7717421,32.7717421,19,North
USDA1C,428.33045,2968,32.7717421,32.7717421,19,North
USDA1D,443.54306,3068,32.7717421,32.7717421,19,North
USDA1E,437.21553,3005,32.7717421,32.7717421,19,North
USDA1F,431.15885,2970,32.7717421,32.7717421,19,North
USDA1G,415.25843,2874,32.7717421,32.7717421,19,North
USDA1H,411.83163,2764,32.7717421,32.7717421,19,North
USDA1I,405.08541,2894,32.7717421,32.7717421,19,North
USDA1J,426.47369,2957,32.7717421,32.7717421,19,North
USDA1K,412.94177,2909,32.7717421,32.7717421,19,North
USDA1L,413.07184,2849,32.7717421,32.7717421,19,North
USDA2A,336.51873,2137,32.6467971,32.6467971,18,North
USDA2B,330.79031,2217,32.6467971,32.6467971,18,North
USDA2C,326.24043,2067,32.6467971,32.6467971,18,North
USDA2D,325.67628,2167,32.6467971,32.6467971,18,North
USDA2E,321.73601,2163,32.6467971,32.6467971,18,North
USDA2F,327.47108,2171,32.6467971,32.6467971,18,North
USDA2G,328.44088,2150,32.6467971,32.6467971,18,North
USDA2H,320.16478,2079,32.6467971,32.6467971,18,North
USDA2I,332.84001,2209,32.6467971,32.6467971,18,North
USDA2J,331.86149,2198,32.6467971,32.6467971,18,North
USDA2K,314.4456,2048,32.6467971,32.6467971,18,North
USDA2L,322.3511,2142,32.6467971,32.6467971,18,North
USDC1A,273.74286,1766,38.820406,38.820406,15,North
USDC1B,275.99312,1851,38.820406,38.820406,15,North
USDC1C,266.44564,1762,38.820406,38.820406,15,North
USDC2A,269.31693,1759,38.820406,38.820406,15,North
USDC2B,261.19822,1748,38.820406,38.820406,15,North
USDC2C,264.58334,1761,38.820406,38.820406,15,North
USDC3A,212.48483,1374,38.820406,38.820406,15,North
USDC3B,212.62345,1401,38.820406,38.820406,15,North
USDC3C,215.07776,1443,38.820406,38.820406,15,North
USDC4A,195.76713,1323,38.820406,38.820406,15,North
USDC4B,200.1385,1366,38.820406,38.820406,15,North
USDC4C,201.21596,1353,38.820406,38.820406,15,North
USMD1A,252.88288,1803,39.232623,39.232623,14,North
USMD1B,252.54478,1714,39.232623,39.232623,14,North
USMD1C,241.68664,1738,39.232623,39.232623,14,North
USMD2A,248.4778,1778,39.232623,39.232623,14,North
